,PTEC,eTEC,aS,P,eP,S2,LH,CC,S1,DTEC
eTEC,0.8983880403016306,0.009281165002254137,2.285032687533947e-06,7.09333349526958e-05,1.13984531727256e-23,8.296450135956426e-06,4.913357922429204e-09,4.9639248406365103e-23,5.907493785707791e-05,0.09219020002712404
PTEC,0.9859564657224064,2.9929623672404995e-31,1.8236440409963937e-10,6.111656033518566e-14,1.0815490987278695e-07,4.451504613735183e-12,4.929746330889064e-23,6.800240768717578e-25,0.0,0.014043425935806871
aS,0.0,0.0,0.9999708681227079,0.0,0.0,1.219709394513991e-09,2.910132197904838e-05,2.898241892824648e-08,3.5318465913401846e-10,0.0
eP,0.03322314488953639,0.0,0.0,1.1117770021140344e-10,0.9625243545301105,0.0,0.0,9.758188936487564e-15,0.0,0.004252500469165679
P,9.136723837963118e-20,0.0,3.108912132128395e-14,0.966322081625779,1.2480939371825257e-30,3.542160469360046e-24,0.0,0.0,1.5444722853791157e-25,0.03367791837418993
S2,0.0006179555191172484,0.0,0.9552705246052421,2.8954308450791135e-06,7.810938825182105e-24,0.017307439180839396,0.02173706854979432,0.0006880397601932015,0.0043760601411404676,1.681282814972152e-08
LH,8.515310797228487e-09,0.0,0.00014636456661329175,0.0,0.0,1.024880925537982e-12,0.9972519806791461,0.0019945667466964895,0.00012051370438368925,0.00048656578682478924
CC,2.8479786152413726e-05,0.0,0.0,0.0,0.0,9.846060933790832e-30,0.0,0.9999715202137971,0.0,5.038306320650777e-14
S1,4.007023699393293e-20,0.0,0.0002592574004889032,5.85910753985214e-12,0.0,0.00011960820345454512,0.009429040479574633,0.00783392481035074,0.9823055105373054,5.2658562966656856e-05
DTEC,0.0007829382494938553,3.669474038435468e-18,0.0,6.038115811555771e-05,7.449496319208768e-13,1.5692646841300682e-06,1.1475374192155547e-26,1.1208062923216784e-05,1.8569085531722024e-07,0.999143717573183
